Kabul;69.1725;34.5289
Tiranë (Tirana);19.8189;41.3275
El Djazaïr  (Algiers);3.0420;36.7525
Pago Pago;-170.7025;-14.2781
Andorra la Vella;1.5211;42.5078
Luanda;13.2343;-8.8368
The Valley;-63.0578;18.2170
St. John's;-61.8457;17.1172
Buenos Aires;-58.4004;-34.6051
Yerevan;44.5146;40.1820
Oranjestad;-70.0270;12.5240
Canberra;149.1281;-35.2835
Wien (Vienna);16.3707;48.2064
Baku;49.8920;40.3777
Nassau;-77.3431;25.0582
Al-Manamah (Manama);50.5832;26.2154
Dhaka;90.4074;23.7104
Bridgetown;-59.6167;13.1000
Minsk;27.5667;53.9000
Bruxelles-Brussel;4.3499;50.8467
Belmopan;-88.7667;17.2500
Cotonou;2.4183;6.3654
Hamilton;-64.7780;32.2915
Thimphu;89.6419;27.4661
La Paz;-68.1500;-16.5000
Sarajevo;18.3564;43.8486
Gaborone;25.9086;-24.6545
Brasília;-47.9297;-15.7797
Road Town;-64.6167;18.4167
Bandar Seri Begawan;114.9481;4.9403
Sofia;23.3242;42.6975
Ouagadougou;-1.5383;12.3642
Bujumbura;29.3644;-3.3822
Praia;-23.5087;14.9215
Phnum Pénh (Phnom Penh);104.9160;11.5625
Yaoundé;11.5167;3.8667
Ottawa-Gatineau;-75.6980;45.4166
Kralendijk;-68.2667;12.1500
George Town;-81.3744;19.2866
Bangui;18.5550;4.3612
N'Djaména;15.0444;12.1067
St. Helier;-2.1049;49.1880
St. Peter Port;-2.5353;49.4598
Santiago;-70.6483;-33.4569
Beijing;116.3972;39.9075
Hong Kong;114.1887;22.2796
Macao;113.5461;22.2006
Taipei;121.5457;25.0470
Bogotá;-74.0818;4.6097
Moroni;43.2551;-11.7022
Brazzaville;15.2832;-4.2658
Rarotonga;-159.7600;-21.2300
San José;-84.0807;9.9278
Abidjan;-4.0268;5.3453
Zagreb;15.9780;45.8144
La Habana (Havana);-82.3785;23.1195
Willemstad;-68.9335;12.1084
Lefkosia (Nicosia);33.3669;35.1595
Praha (Prague);14.4208;50.0880
P'yongyang;125.7543;39.0339
Kinshasa;15.3136;-4.3276
København (Copenhagen);12.5655;55.6759
Djibouti;43.1447;11.5877
Roseau;-61.3881;15.3017
Santo Domingo;-69.9018;18.4896
Quito;-78.5250;-0.2299
Al-Qahirah (Cairo);31.2394;30.0392
San Salvador;-89.1872;13.6894
Malabo;8.7833;3.7500
Asmara;38.9333;15.3333
Tallinn;24.7535;59.4370
Addis Ababa;38.7469;9.0250
Tórshavn;-6.7716;62.0097
Stanley;-57.8494;-51.7012
Suva;178.4415;-18.1416
Helsinki;24.9402;60.1692
Paris;2.3488;48.8534
Cayenne;-52.3333;4.9333
Papeete;-149.5667;-17.5333
Libreville;9.4537;0.3925
Banjul;-16.6794;13.4531
Tbilisi;44.8337;41.6941
Berlin;13.4105;52.5244
Accra;-0.1969;5.5560
Gibraltar;-5.3526;36.1447
Athínai (Athens);23.7490;37.9534
Nuuk (Godthåb);-51.7216;64.1835
St.George's;-61.7485;12.0564
Basse-Terre;-61.7255;15.9985
Hagåtña;144.7489;13.4757
Ciudad de Guatemala (Guatemala City);-90.5307;14.6127
Conakry;-13.6476;9.5716
Bissau;-15.5977;11.8636
Georgetown;-58.1553;6.8045
Port-au-Prince;-72.3350;18.5392
Vatican City;12.4533;41.9024
Tegucigalpa;-87.2068;14.0818
Budapest;19.0399;47.4980
Reykjavík;-21.8954;64.1355
Delhi;77.2167;28.6667
Jakarta;106.8416;-6.2118
Tehran;51.4215;35.6944
Baghdad;44.4009;33.3406
Dublin;-6.2489;53.3331
Douglas;-4.4833;54.1500
Jerusalem;35.2163;31.7690
Roma (Rome);12.4811;41.8947
Kingston;-76.7936;17.9970
Tokyo;139.6917;35.6895
Amman;35.9450;31.9552
Astana;71.4460;51.1801
Nairobi;36.8167;-1.2833
Tarawa;172.9813;1.3272
Al Kuwayt (Kuwait City);47.9783;29.3697
Bishkek;74.5900;42.8700
Vientiane;102.6000;17.9667
Riga;24.1059;56.9460
Bayrut (Beirut);35.4833;33.9000
Maseru;27.4833;-29.3167
Monrovia;-10.7969;6.3005
Tarabulus (Tripoli);13.1875;32.8752
Vaduz;9.5215;47.1415
Vilnius;25.2798;54.6892
Luxembourg;6.1300;49.6117
Antananarivo;47.5361;-18.9137
Lilongwe;33.7873;-13.9669
Kuala Lumpur;101.6865;3.1412
Male;73.5089;4.1748
Bamako;-8.0000;12.6500
Valletta;14.5147;35.8997
Majuro;171.3803;7.0897
Fort-de-France;-61.0733;14.6089
Nouakchott;-15.9785;18.0858
Port Louis;57.4989;-20.1619
Mamoudzou;45.2272;-12.7794
Ciudad de México (Mexico City);-99.1419;19.4273
Palikir;158.1588;6.9174
Monaco;7.4167;43.7333
Ulaanbaatar;106.8832;47.9077
Podgorica;19.2636;42.4411
Brades Estate;-62.2106;16.7918
Rabat;-6.8326;34.0133
Maputo;32.5892;-25.9653
Nay Pyi Taw;96.1297;19.7450
Windhoek;17.0832;-22.5594
Nauru;166.9112;-0.5308
Kathmandu;85.3206;27.7017
Amsterdam;4.8897;52.3740
Nouméa;166.4572;-22.2763
Wellington;174.7756;-41.2866
Managua;-86.2504;12.1328
Niamey;2.1098;13.5137
Abuja;7.4898;9.0574
Alofi;-169.9213;-19.0585
Saipan;145.7545;15.2123
Oslo;10.7461;59.9127
Masqat (Muscat);58.5922;23.6139
Islamabad;73.0594;33.7035
Koror;134.4789;7.3426
Ciudad de Panamá (Panama City);-79.5196;8.9958
Port Moresby;147.1797;-9.4431
Asunción;-57.6359;-25.3007
Lima;-77.0282;-12.0432
Manila;120.9822;14.6042
Warszawa (Warsaw);21.0118;52.2298
Lisboa (Lisbon);-9.1399;38.7169
San Juan;-66.1057;18.4663
Ad-Dawhah (Doha);51.5245;25.2747
Seoul;126.9778;37.5683
Chişinău;28.8575;47.0056
Saint-Denis;55.4504;-20.8823
Bucuresti (Bucharest);26.1043;44.4328
Moskva (Moscow);37.6218;55.7550
Kigali;30.0579;-1.9474
Jamestown;-5.7168;-15.9387
Basseterre;-62.7261;17.2948
Castries;-60.9910;14.0060
Saint-Pierre;-56.1815;46.7738
Kingstown;-61.2248;13.1587
Apia;-171.7667;-13.8333
San Marino;12.4500;43.9333
São Tomé;6.7273;0.3365
Ar-Riyadh (Riyadh);46.7096;24.6905
Dakar;-17.4441;14.6937
Beograd (Belgrade);20.4633;44.8176
Victoria;55.4500;-4.6167
Freetown;-13.2299;8.4840
Singapore;103.8501;1.2897
Philipsburg;-63.0458;18.0260
Bratislava;17.1067;48.1482
Ljubljana;14.5051;46.0511
Honiara;159.9500;-9.4333
Muqdisho (Mogadishu);45.3435;2.0416
Cape Town;18.4232;-33.9258
Juba;31.5825;4.8517
Madrid;-3.7026;40.4165
Colombo;79.8478;6.9319
Al-Quds[East Jerusalem];35.2339;31.7834
Al-Khartum (Khartoum);32.5324;15.5518
Paramaribo;-55.1668;5.8664
Mbabane;31.1333;-26.3167
Stockholm;18.0649;59.3326
Bern;7.4474;46.9481
Dimashq (Damascus);36.3084;33.5086
Dushanbe;68.7791;38.5358
Skopje;21.4333;42.0000
Krung Thep (Bangkok);100.5252;13.7220
Dili;125.5668;-8.5601
Lomé;1.2123;6.1375
Tokelau;-171.2500;-9.3800
Nuku'alofa;-175.2032;-21.1394
Port of Spain;-61.5166;10.6662
Tunis;10.1658;36.8190
Ankara;32.8543;39.9199
Ashgabat;58.3833;37.9500
Cockburn Town;-71.1419;21.4612
Funafuti;179.1991;-8.5189
Kampala;32.5822;0.3163
Kyiv (Kiev);30.5186;50.4454
Abu Zaby (Abu Dhabi);54.3618;24.4648
London;-0.1257;51.5085
Dodoma;35.7395;-6.1722
Washington D.C.;38.8951;-77.0364
Charlotte Amalie;-64.9307;18.3419
Montevideo;-56.1674;-34.8335
Tashkent;69.2163;41.2647
Port Vila;168.3219;-17.7338
Caracas;-66.8792;10.4880
Hà Noi;105.8412;21.0245
Matu-Utu;-176.1745;-13.2816
El Aaiún;-13.2014;27.1532
